subject,cond,age,gender,eth,inc,house,edu
596,6,40,f,white,4,3,2
597,7,37,f,white,5,1,4
599,1,22,f,White,2,2,2
600,2,28,m,caucasian,4,3,4
602,4,31,f,Native American,,,3
603,5,24,f,White,5,2,4
604,6,20,m,Caucasian,2,4,1
605,7,23,m,white,2,2,4
606,0,22,m,Hispanic,5,5,4
607,1,26,f,White,3,2,2
608,2,27,m,Caucasian,7,2,4
610,4,25,m,White,10,3,4
611,5,29,m,White,7,3,4
612,6,32,m,white,1,2,2
613,7,19,m,white,1,5,1
614,0,23,m,White,1,3,4
614,0,23,m,White,1,3,4
615,1,20,m,White,2,2,2
616,2,42,m,White,2,1,4
617,3,28,m,Asian,2,3,4
618,4,25,m,white,4,2,4
619,5,22,f,Caucasian,7,3,4
620,6,27,m,asian,3,1,4
621,7,27,m,White,8,4,4
622,0,28,f,White,4,3,1
623,1,28,m,Caucasian,8,2,4
624,2,20,m,white,1,1,2
625,3,28,m,Hispanic,3,1,2
626,4,33,m,Hispanic,5,4,4
627,5,25,m,Asian,2,1,5
628,6,19,f,white,10,4,2
629,7,30,m,White,10,1,4
630,0,59,f,white,10,1,5
632,2,27,m,White,7,2,2
633,3,27,m,Asian,3,1,5
635,5,24,m,Hispanic,10,1,4
636,6,19,f,White,1,4,2
